book;chapter;verse;sentence#;clause#;lex;status;sense_label;sense;action_status;action;#dos;#pdos;#ndos;#kdos;#ldos;#idos;#cdos;#inds;#locs;#cpls;#bens;text
Genesis;1;5;10;1;"QR>";;"<l.>";"call [5|day] (to be named) [4|the light]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>LHJM ] [4|L>WR ] [5|JWM ]"
Genesis;1;5;11;1;"QR>";;"<l.>";"call [4|night] (to be named) [2|the darkness]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|LX#K ] [3|QR> ] [4|LJLH ]"
Genesis;1;8;21;1;"QR>";;"<l.>";"call [5|heavens] (to be named) [4|the firmament]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>LHJM ] [4|LRQJ< ] [5|#MJM ]"
Genesis;1;10;29;1;"QR>";;"<l.>";"call [5|earth] (to be named) [4|the dry land]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>LHJM ] [4|LJB#H ] [5|>RY ]"
Genesis;1;10;30;1;"QR>";;"<l.>";"call [4|sea] (to be named) [2|collection the water]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|LMQWH HMJM ] [3|QR> ] [4|JMJM ]"
Genesis;2;19;42;3;"QR>";;"<di>";"summon [1|what] for [3|to~him]";!;"";1;0;0;0;0;0;0;1;0;0;0;"[1|MH&] [2|JQR>&] [3|LW ]"
Genesis;2;19;43;2;"QR>";;"<di>";"summon [5|soul alive] for [3|to~him]";!;"";1;0;0;0;0;0;0;1;0;0;0;"[1|>#R ] [2|JQR>&] [3|LW ] [4|H>DM ] [5|NP# XJH ]"
Genesis;2;20;44;1;"QR>";;"<l.>";"call [4|name] (to be named) [5|whole the cattle and to birds the heavens and to whole wild animal the open field]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|H>DM ] [4|#MWT ] [5|LKL&HBHMH WL<WP H#MJM WLKL XJT H#DH ]"
Genesis;3;9;25;1;"QR>";wrn;"<-c>";"call [4|to the human, mankind] (content)";?;"[4|to the human, mankind] taken as direct object";0;0;0;0;0;0;0;0;0;1;0;"[1|W] [2|JQR> ] [3|JHWH >LHJM ] [4|>L&H>DM ]"
Genesis;3;20;68;1;"QR>";;"<n.>";"call [4|name woman~him] (to be named) [5|Eve]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|H>DM ] [4|#M >#TW ] [5|XWH ]"
Genesis;4;17;58;1;"QR>";;"<k.>";"call [3|name the town] (to be named) according to [4|as name son~him Enoch]";!;"";0;1;0;1;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|#M H<JR ] [4|K#M BNW XNWK00.]"
Genesis;4;25;79;1;"QR>";;"<n.>";"call [3|& name~him] (to be named) [4|Seth]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|TQR> ] [3|>T&#MW ] [4|#T ]"
Genesis;4;26;83;1;"QR>";;"<n.>";"call [3|& name~him] (to be named) [4|Enosh]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>T&#MW ] [4|>NW# ]"
Genesis;4;26;84;2;"QR>";wrn;"<-p>";"call at [2|in name YHWH]";?;"[2|in name YHWH] taken as locative adjunct.";0;0;0;0;0;0;0;0;1;0;0;"[1|LQR> ] [2|B#M JHWH00.]"
Genesis;5;2;5;1;"QR>";;"<n.>";"call [3|& name~them:mm] (to be named) [4|human, mankind]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>T&#MM ] [4|>DM ] [5|BJWM ]"
Genesis;5;3;8;1;"QR>";;"<n.>";"call [3|& name~him] (to be named) [4|Seth]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>T&#MW ] [4|#T00.]"
Genesis;5;29;59;1;"QR>";;"<n.>";"call [3|& name~him] (to be named) [4|Noah]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>T&#MW ] [4|NX ]"
Genesis;11;9;28;1;"QR>";;"<n.>";"call [3|name~her] (to be named) [4|Babel]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|<L&KN ] [2|QR> ] [3|#MH ] [4|BBL ]"
Genesis;12;8;27;1;"QR>";wrn;"<-p>";"call at [3|in name YHWH]";?;"[3|in name YHWH] taken as locative adjunct.";0;0;0;0;0;0;0;0;1;0;0;"[1|W] [2|JQR> ] [3|B#M JHWH00.]"
Genesis;12;18;50;1;"QR>";;"<-->";"shout; call; invoke";!;"";0;0;0;0;1;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|PR<H ] [4|L>BRM ]"
Genesis;13;4;5;1;"QR>";wrn;"<-p>";"call at [3|there] [5|in name YHWH]";?;"[3|there] [5|in name YHWH] taken as locative adjunct.";0;0;0;0;0;0;0;0;2;0;0;"[1|W] [2|JQR> ] [3|#M ] [4|>BRM ] [5|B#M JHWH00.]"
Genesis;16;11;40;1;"QR>";;"<n.>";"call [3|name~him] (to be named) [4|Ishmael]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|QR>T ] [3|#MW ] [4|J#M<>L ]"
Genesis;16;13;46;1;"QR>";;"<d->";"call; summon [3|name YHWH] (content or addressee)";!;"";1;0;0;0;0;0;0;0;0;0;0;"[1|W] [2|TQR> ] [3|#M&JHWH ]"
Genesis;16;14;50;1;"QR>";;"<l.>";"call [4|well Beer Lahai Roi] (to be named) [3|the well]";!;"";0;1;0;0;1;0;0;0;0;0;0;"[1|<L&KN ] [2|QR> ] [3|LB>R ] [4|B>R LXJ R>J ]"
Genesis;16;15;53;1;"QR>";;"<n.>";"call [4|name son~him] (to be named) [5|Ishmael]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|JQR> ] [3|>BRM ] [4|#M&BNW ] [5|J#M<>L00.]"
Genesis;17;15;33;2;"QR>";;"<n.>";"call [3|& name~her] (to be named) [4|Sarai]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|L>&] [2|TQR> ] [3|>T&#MH ] [4|#RJ ]"
Genesis;17;19;48;1;"QR>";;"<n.>";"call [3|& name~him] (to be named) [4|Isaac]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|QR>T ] [3|>T&#MW ] [4|JYXQ ]"
Genesis;19;5;24;1;"QR>";;"<-i>";"call; summon [3|to Lot]";!;"";0;0;0;0;0;0;0;1;0;0;0;"[1|W] [2|JQR>W ] [3|>L&LWV ]"
Genesis;19;22;97;1;"QR>";;"<n.>";"call [3|name the town] (to be named) [4|Zoar]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|<L&KN ] [2|QR> ] [3|#M&H<JR ] [4|YW<R00.]"
Genesis;19;37;140;1;"QR>";;"<n.>";"call [3|name~him] (to be named) [4|Moab]";!;"";0;1;1;0;0;0;0;0;0;0;0;"[1|W] [2|TQR> ] [3|#MW ] [4|MW>B ]"
